image_name,pore_id,area_px,bbox_r0,bbox_c0,bbox_r1,bbox_c1,p,A,w,b,c,a,m,Lb,Wb,dH,pHull,Ahull,ece,L_maj,L_min,d_BC,feret_major,feret_minor,w_f,DL_Circ,DL_Rec,DL_Com,DL_Elo,CI_Circ,CI_AR,CI_Con,CI_Sol,LL_Circ,LL_AR,LL_Elo,LL_Con,LL_Sol,LI_AR,LI_Con,LI_Sol,SC_Circ,SC_Rec,SC_ARF,SC_AR,FF,Reg
S1_Grao_1,1,1146,0,0,45,35,71.618795,945.000000,40.000000,50.000000,108.973484,51.000000,18.607843,58.000000,51.000000,34.687337,56.062446,1480.000000,182.710717,62.123560,30.360336,64.031242,65.030993,40.000000,50.000000,0.657213,0.397882,0.472500,2.740780,2.315195,2.046208,2.551156,0.638514,1.521577,0.879310,0.120690,0.782790,0.638514,0.488709,0.782790,0.638514,0.293466,0.472500,0.800000,1.250000,2.315195,0.321031
S1_Grao_1,2,1685,0,64,33,156,217.776695,1685.000000,31.578974,91.860659,145.514035,83.000000,18.619565,90.000000,43.000000,46.318556,174.639610,2486.000000,229.235163,98.885875,27.462182,92.337142,93.195256,31.578974,91.860659,1.496603,0.882118,0.580861,4.457677,0.446465,3.600802,1.052616,0.677796,0.668180,0.477778,0.522222,0.801921,0.677796,0.277716,0.801921,0.677796,0.251627,0.580861,0.343770,2.908918,0.446465,0.065255
S1_Grao_1,3,51,0,158,5,170,20.970563,51.000000,5.000000,12.000000,25.315705,13.000000,3.923077,12.000000,6.000000,8.058239,20.142136,57.000000,31.772456,12.667854,5.711431,12.000000,13.000000,5.000000,12.000000,0.828362,0.616781,0.850000,3.313725,1.457337,2.217982,1.515098,0.894737,1.207202,0.500000,0.500000,0.960496,0.894737,0.450860,0.960496,0.894737,0.450939,0.850000,0.416667,2.400000,1.457337,0.558594
S1_Grao_1,4,3479,0,273,70,358,217.078210,3479.000000,70.000000,85.000000,209.089463,81.000000,41.953488,106.000000,69.000000,66.555243,190.994949,4039.000000,298.756061,87.305396,57.567516,105.801701,106.801669,70.000000,85.000000,1.038207,0.700252,0.584706,1.930710,0.927752,1.516574,1.376260,0.861352,0.963199,0.650943,0.349057,0.879844,0.861352,0.659381,0.879844,0.861352,0.395712,0.584706,0.823529,1.214286,0.927752,0.214659
S1_Grao_1,5,5161,0,320,96,429,327.073160,5161.000000,55.266240,118.249622,254.666525,119.000000,43.369748,117.000000,57.000000,81.062872,298.345238,5876.000000,327.990616,129.615043,53.048690,120.768373,121.768362,55.266240,118.249622,1.284319,0.942488,0.789722,2.743848,0.606253,2.443322,1.002805,0.878319,0.778623,0.487179,0.512821,0.912167,0.878319,0.409279,0.912167,0.878319,0.450544,0.789722,0.467369,2.139636,0.606253,0.215708
S1_Grao_1,6,586,0,451,33,477,91.882251,586.000000,23.852108,31.895261,85.813129,31.000000,18.406250,32.000000,26.000000,27.315167,87.154329,640.000000,94.669373,32.804480,23.197403,34.018158,34.955833,23.852108,31.895261,1.070725,0.824095,0.770273,1.684211,0.872257,1.414145,1.030334,0.915625,0.933947,0.812500,0.187500,0.948544,0.915625,0.707141,0.948544,0.915625,0.644742,0.770273,0.747826,1.337209,0.872257,0.433187
S1_Grao_1,7,22111,0,487,266,693,822.957503,22111.000000,170.091702,290.376396,527.119551,272.000000,82.123711,260.000000,244.000000,167.787364,658.624458,34292.000000,846.880257,327.931197,128.501751,302.001656,303.001537,170.091702,290.376396,1.561235,0.893610,0.447676,3.312076,0.410264,2.551959,1.029069,0.644786,0.640519,0.938462,0.061538,0.800314,0.644786,0.391856,0.800314,0.644786,0.308674,0.447676,0.585763,1.707176,0.410264,0.056693
S1_Grao_1,8,572,0,721,20,757,69.083261,572.000000,20.000000,36.000000,84.781861,36.000000,15.540541,35.000000,22.000000,26.986905,64.941125,601.000000,106.510074,36.501926,21.076724,36.965775,37.878173,20.000000,36.000000,0.814835,0.616815,0.794444,2.316522,1.506122,1.731860,1.541764,0.951747,1.227242,0.628571,0.371429,0.940041,0.951747,0.577414,0.940041,0.951747,0.532975,0.794444,0.555556,1.800000,1.506122,0.637720
S1_Grao_1,9,216,0,780,20,804,56.840620,216.000000,12.020815,29.698485,52.099290,29.000000,7.466667,29.000000,12.000000,16.583719,55.426407,249.000000,79.228841,28.705783,11.366191,30.000000,30.999923,12.020815,29.698485,1.091006,0.681227,0.605042,3.883929,0.840129,2.525541,1.393877,0.867470,0.916586,0.413793,0.586207,0.975120,0.867470,0.395955,0.975120,0.867470,0.305577,0.605042,0.404762,2.470588,0.840129,0.155329
S1_Grao_1,10,25385,0,860,255,1075,1019.763635,25385.000000,159.384028,283.084182,564.798476,242.000000,92.021127,267.000000,241.000000,179.780938,660.896536,36413.000000,814.178849,304.915935,137.582207,292.024288,292.906855,159.384028,283.084182,1.805535,1.152358,0.562622,2.629831,0.306752,2.216245,0.798400,0.697141,0.553852,0.902622,0.097378,0.648088,0.697141,0.451214,0.648088,0.697141,0.379009,0.562622,0.563027,1.776114,0.306752,0.065411
