metric,count,mean,std,median,min,max
p,76.000000,282.615969,466.911288,98.246212,20.970563,2620.460387
A,76.000000,5683.118421,13002.892347,579.000000,51.000000,68345.000000
w,76.000000,51.044681,69.274755,21.106602,5.000000,376.000000
b,76.000000,81.922815,105.123797,37.445436,8.485281,511.725404
c,76.000000,173.267316,204.808539,85.297495,25.315705,926.740848
a,76.000000,71.881579,81.049938,36.500000,10.000000,347.000000
m,76.000000,32.180698,40.068834,15.253604,3.923077,235.464286
Lb,76.000000,81.881579,105.902089,36.000000,9.000000,516.000000
Wb,76.000000,59.565789,78.466186,23.500000,6.000000,349.000000
dH,76.000000,55.152700,65.192583,27.151036,8.058239,294.990774
pHull,76.000000,199.259974,250.905828,87.861436,20.142136,1263.158513
Ahull,76.000000,8162.828947,20362.634121,646.500000,57.000000,109634.000000
ece,76.000000,241.771625,308.655366,107.487471,27.633518,1355.902559
L_maj,76.000000,85.095637,108.537402,38.440036,10.829719,499.762232
L_min,76.000000,47.030106,61.953200,20.609003,5.711431,329.554900
d_BC,76.000000,86.510613,109.541182,38.940356,10.198039,516.008721
feret_major,76.000000,87.080062,109.040013,39.940216,11.197983,517.007971
feret_minor,76.000000,51.044681,69.274755,21.106602,5.000000,376.000000
w_f,76.000000,81.922815,105.123797,37.445436,8.485281,511.725404
DL_Circ,76.000000,1.319547,0.436367,1.267840,0.586540,3.130230
DL_Rec,76.000000,0.919415,0.235300,0.950315,0.397882,1.788148
DL_Com,76.000000,0.703830,0.126619,0.745873,0.428324,0.962963
DL_Elo,76.000000,2.475996,1.104262,2.335074,1.036251,8.347826
CI_Circ,76.000000,0.753985,0.506881,0.622118,0.102058,2.906734
CI_AR,76.000000,1.934476,0.742456,1.862343,1.075786,5.892695
CI_Con,76.000000,1.077990,0.373381,0.942447,0.510960,2.551156
CI_Sol,76.000000,0.841529,0.101216,0.876530,0.578789,0.965686
LL_Circ,76.000000,0.830305,0.255811,0.788744,0.319465,1.704915
LL_AR,76.000000,0.738016,0.187814,0.804762,0.212766,1.000000
LL_Elo,76.000000,0.261984,0.187814,0.195238,0.000000,0.787234
LL_Con,76.000000,0.875951,0.123174,0.922989,0.399574,1.000000
LL_Sol,76.000000,0.841529,0.101216,0.876530,0.578789,0.965686
LI_AR,76.000000,0.572674,0.167034,0.536964,0.169702,0.929553
LI_Con,76.000000,0.875951,0.123174,0.922989,0.399574,1.000000
LI_Sol,76.000000,0.841529,0.101216,0.876530,0.578789,0.965686
SC_Circ,76.000000,0.489429,0.147085,0.488896,0.159083,0.793682
SC_Rec,76.000000,0.703830,0.126619,0.745873,0.428324,0.962963
SC_ARF,76.000000,0.635297,0.191972,0.609551,0.191489,1.000000
SC_AR,76.000000,1.750114,0.664161,1.640672,1.000000,5.222222
FF,76.000000,0.753985,0.506881,0.622118,0.102058,2.906734
Reg,76.000000,0.283897,0.231373,0.249720,0.013657,1.509847
