image_name,pore_id,area_px,bbox_r0,bbox_c0,bbox_r1,bbox_c1,p,A,w,b,c,a,m,Lb,Wb,dH,pHull,Ahull,ece,L_maj,L_min,d_BC,feret_major,feret_minor,w_f,DL_Circ,DL_Rec,DL_Com,DL_Elo,CI_Circ,CI_AR,CI_Con,CI_Sol,LL_Circ,LL_AR,LL_Elo,LL_Con,LL_Sol,LI_AR,LI_Con,LI_Sol,SC_Circ,SC_Rec,SC_ARF,SC_AR,FF,Reg
S1_Matriz,1,2482,0,128,53,272,307.433550,2482.000000,41.351139,146.802490,176.606149,100.000000,16.817568,134.000000,85.000000,56.215483,279.551299,4690.000000,353.918620,168.982756,33.402640,147.678705,148.678650,41.351139,146.802490,1.740786,0.816975,0.408866,5.946163,0.329996,5.058964,1.151204,0.529211,0.574453,0.634328,0.365672,0.909306,0.529211,0.197669,0.909306,0.529211,0.144903,0.408866,0.281679,3.550144,0.329996,0.019551
S1_Matriz,2,190,0,418,16,439,46.597980,190.000000,12.020815,22.627417,48.863181,22.000000,8.043478,22.000000,14.000000,15.553633,43.769553,209.000000,67.748591,21.402208,13.285987,23.118919,24.021679,12.020815,22.627417,0.953642,0.672444,0.698529,2.735135,1.099586,1.610886,1.453895,0.909091,1.048612,0.636364,0.363636,0.939302,0.909091,0.620776,0.939302,0.909091,0.452615,0.698529,0.531250,1.882353,1.099586,0.347650
S1_Matriz,3,1990,0,478,60,550,234.977705,1990.000000,59.306350,72.682345,158.136263,66.000000,30.041096,79.000000,62.000000,50.336336,206.509668,3026.000000,253.293369,65.982160,57.155974,84.014835,83.419429,59.306350,72.682345,1.485919,0.890143,0.461661,2.196990,0.452908,1.154423,1.077946,0.657634,0.672984,0.784810,0.215190,0.878848,0.657634,0.866234,0.878848,0.657634,0.358964,0.461661,0.815966,1.225541,0.452908,0.075056
S1_Matriz,4,1007,0,812,22,865,103.710678,1007.000000,22.000000,53.000000,112.491489,54.000000,18.851852,53.000000,24.000000,35.807153,93.769553,1111.000000,142.858727,56.093091,23.730311,53.272011,54.009380,22.000000,53.000000,0.921942,0.691405,0.863636,2.864440,1.176501,2.363774,1.377474,0.906391,1.084666,0.452830,0.547170,0.904146,0.906391,0.423052,0.904146,0.906391,0.451795,0.863636,0.415094,2.409091,1.176501,0.459055
S1_Matriz,5,543,0,1007,44,1044,117.053824,543.000000,25.050344,56.222768,82.604717,48.000000,9.578947,54.000000,34.000000,26.293898,108.225397,888.000000,156.716032,55.972743,21.014519,56.222771,57.222768,25.050344,56.222768,1.417036,0.720126,0.385544,5.010989,0.498010,2.663527,1.338837,0.611486,0.705699,0.629630,0.370370,0.924578,0.611486,0.375442,0.924578,0.611486,0.218718,0.385544,0.445555,2.244391,0.498010,0.041995
S1_Matriz,6,2433,0,1091,48,1168,161.752309,2433.000000,48.000000,77.000000,174.854167,78.000000,31.794872,73.000000,59.000000,55.657810,148.053824,2860.000000,244.057848,66.893328,53.488273,80.173423,78.005795,48.000000,77.000000,0.925070,0.647009,0.658279,2.453226,1.168560,1.250617,1.508837,0.850699,1.081000,0.808219,0.191781,0.915312,0.850699,0.799606,0.915312,0.850699,0.481938,0.658279,0.623377,1.604167,1.168560,0.370726
S1_Matriz,7,65,0,1288,6,1301,23.142136,65.000000,6.000000,13.000000,28.579960,12.000000,4.642857,11.000000,9.000000,9.097284,23.142136,72.000000,35.387878,14.036659,6.248608,13.601471,14.601449,6.000000,13.000000,0.809733,0.609004,0.833333,2.584615,1.525163,2.246366,1.529153,0.902778,1.234975,0.818182,0.181818,1.000000,0.902778,0.445163,1.000000,0.902778,0.447354,0.833333,0.461538,2.166667,1.525163,0.568574
S1_Matriz,8,291,6,630,33,649,81.396970,291.000000,16.263456,25.455844,60.471595,26.000000,10.481481,24.000000,21.000000,19.248707,75.497475,341.000000,78.078230,25.481368,16.409507,27.715402,28.658630,16.263456,25.455844,1.346036,0.975531,0.702899,2.480565,0.551933,1.552842,0.959228,0.853372,0.742922,0.875000,0.125000,0.927522,0.853372,0.643981,0.927522,0.853372,0.482348,0.702899,0.638889,1.565217,0.551933,0.187128
S1_Matriz,9,5069,14,1208,126,1336,613.636652,5069.000000,89.366293,137.885141,252.386475,66.000000,44.482014,136.000000,117.000000,80.337110,397.889394,9597.000000,415.206151,163.161443,87.860884,140.995113,141.928827,89.366293,137.885141,2.431337,1.350127,0.411369,1.483746,0.169165,1.857043,0.676632,0.528186,0.411296,0.860294,0.139706,0.648412,0.528186,0.538490,0.648412,0.528186,0.324657,0.411369,0.648121,1.542921,0.169165,0.022593
S1_Matriz,11,4403,20,370,136,469,372.416306,4403.000000,56.025690,123.541310,235.222724,115.000000,36.346774,119.000000,60.000000,74.873718,329.144228,5810.000000,337.542540,129.756543,50.585060,125.757198,126.299410,56.025690,123.541310,1.583250,1.036984,0.636135,3.163967,0.398934,2.565116,0.906358,0.757831,0.631612,0.504202,0.495798,0.883807,0.757831,0.389846,0.883807,0.757831,0.354481,0.636135,0.453498,2.205083,0.398934,0.089959
