metric,count,mean,std,median,min,max
p,71.000000,205.995709,205.048948,104.610173,23.142136,1072.739249
A,71.000000,1875.549296,2763.825795,516.000000,52.000000,12757.000000
w,71.000000,36.427607,33.681165,22.895954,5.000000,177.335901
b,71.000000,65.366853,57.223072,40.571879,7.778175,226.540968
c,71.000000,120.958145,95.213760,80.524824,25.562693,400.386301
a,71.000000,54.478873,41.936980,40.000000,8.000000,180.000000
m,71.000000,19.763589,17.469053,13.666667,4.333333,105.740196
Lb,71.000000,64.380282,56.823880,36.000000,10.000000,222.000000
Wb,71.000000,44.126761,37.794153,27.000000,5.000000,183.000000
dH,71.000000,38.502173,30.307481,25.631847,8.136858,127.446918
pHull,71.000000,171.085696,146.738433,99.095454,23.142136,655.068109
Ahull,71.000000,3100.422535,4904.181107,599.000000,54.000000,26518.000000
ece,71.000000,191.142439,164.127783,109.444082,26.876834,694.535307
L_maj,71.000000,69.205921,61.426527,40.361916,11.052323,249.115146
L_min,71.000000,33.027624,30.593304,22.414174,6.005914,182.656275
d_BC,71.000000,69.071772,60.139631,40.865431,11.000000,229.200785
feret_major,71.000000,69.472370,59.648636,41.607834,12.000000,230.198820
feret_minor,71.000000,36.427607,33.681165,22.895954,5.000000,177.335901
w_f,71.000000,65.366853,57.223072,40.571879,7.778175,226.540968
DL_Circ,71.000000,1.512396,0.418690,1.442810,0.805883,2.679261
DL_Rec,71.000000,0.957993,0.168544,0.967968,0.521404,1.408976
DL_Com,71.000000,0.617681,0.176772,0.630831,0.233735,0.945455
DL_Elo,71.000000,2.928224,1.302991,2.619043,1.097028,7.166667
CI_Circ,71.000000,0.544127,0.309174,0.480377,0.139306,1.539769
CI_AR,71.000000,2.151865,0.937999,1.957501,1.110313,6.222989
CI_Con,71.000000,1.016558,0.218210,0.960698,0.647441,1.656171
CI_Sol,71.000000,0.752134,0.154606,0.799666,0.365651,0.962963
LL_Circ,71.000000,0.711501,0.196048,0.693092,0.373237,1.240874
LL_AR,71.000000,0.728874,0.163526,0.755102,0.190476,1.000000
LL_Elo,71.000000,0.271126,0.163526,0.244898,0.000000,0.809524
LL_Con,71.000000,0.908858,0.107394,0.927522,0.610650,1.448916
LL_Sol,71.000000,0.752134,0.154606,0.799666,0.365651,0.962963
LI_AR,71.000000,0.535999,0.187893,0.510856,0.160694,0.900647
LI_Con,71.000000,0.908858,0.107394,0.927522,0.610650,1.448916
LI_Sol,71.000000,0.752134,0.154606,0.799666,0.365651,0.962963
SC_Circ,71.000000,0.404037,0.155191,0.394118,0.144903,0.760199
SC_Rec,71.000000,0.617681,0.176772,0.630831,0.233735,0.945455
SC_ARF,71.000000,0.603153,0.198426,0.578231,0.183333,1.000000
SC_AR,71.000000,1.869432,0.736157,1.729412,1.000000,5.454545
FF,71.000000,0.544127,0.309174,0.480377,0.139306,1.539769
Reg,71.000000,0.178391,0.168417,0.102427,0.005948,0.632982
